domain,price,currency,date,source,venue,tld
let.com,200000,USD,2021-12-31,dnjournal_ytd,,com
bodo.com,200000,USD,2021-12-31,dnjournal_ytd,,com
profitable.com,200000,USD,2020-12-31,dnjournal_ytd,,com
fluid.io,199995,USD,2024-12-31,dnjournal_ytd,,io
miri.com,199995,USD,2023-12-31,dnjournal_ytd,,com
bull.xyz,199888,USD,2022-12-31,dnjournal_ytd,,xyz
https.com,197000,USD,2021-12-31,dnjournal_ytd,,com
bath.com,195000,USD,2020-12-31,dnjournal_ytd,,com
palestine.com,194400,USD,2023-12-31,dnjournal_ytd,,com
rvsforsale.com,194213,USD,2021-12-31,dnjournal_ytd,,com
it.co.uk,187200,USD,2020-12-31,dnjournal_ytd,,uk
medal.com,185728,USD,2022-12-31,dnjournal_ytd,,com
betu.com,180000,USD,2021-12-31,dnjournal_ytd,,com
exchangerates.com,180000,USD,2021-12-31,dnjournal_ytd,,com
listing.com,180000,USD,2021-12-31,dnjournal_ytd,,com
electriccar.com,180000,USD,2020-12-31,dnjournal_ytd,,com
prove.com,175000,USD,2020-12-31,dnjournal_ytd,,com
solarenergy.com,175000,USD,2023-12-31,dnjournal_ytd,,com
rake.com,175000,USD,2022-12-31,dnjournal_ytd,,com
bookstore.com,175000,USD,2021-12-31,dnjournal_ytd,,com
blunt.com,175000,USD,2022-12-31,dnjournal_ytd,,com
metaverse.io,175000,USD,2021-12-31,dnjournal_ytd,,io
smartwallet.com,175000,USD,2021-12-31,dnjournal_ytd,,com
unchained.com,174999,USD,2021-12-31,dnjournal_ytd,,com
ready.org,169888,USD,2020-12-31,dnjournal_ytd,,org
dealmaker.com,168000,USD,2021-12-31,dnjournal_ytd,,com
fsm.com,161719,USD,2021-12-31,dnjournal_ytd,,com
fume.com,160000,USD,2021-12-31,dnjournal_ytd,,com
nfc.com,160000,USD,2023-12-31,dnjournal_ytd,,com
x.game,160000,USD,2024-12-31,dnjournal_ytd,,game
scottish.com,155000,USD,2021-12-31,dnjournal_ytd,,com
ecommerce.de,152000,USD,2021-12-31,dnjournal_ytd,,de
fanbase.com,151000,USD,2020-12-31,dnjournal_ytd,,com
throne.com,150000,USD,2023-12-31,dnjournal_ytd,,com
