date,domain,price,venue,length,dot_com,hyphen,numbers
2018-05-16,amblepower.com,104,DropCatch,10,1,0,0
2019-08-12,loogies.com,102,GoDaddy,7,1,0,0
2017-09-18,cannamatic.com,104,GoDaddy,10,1,0,0
2017-07-09,daybeforetomorrow.com,102,GoDaddy,17,1,0,0
2019-07-12,futuresinsurance.com,107,GoDaddy,16,1,0,0
2019-05-19,mg037.com,108,GoDaddy,5,1,0,1
2018-09-29,cryptocone.com,108,GoDaddy,10,1,0,0
2018-02-13,obviouslysweet.com,108,GoDaddy,14,1,0,0
2020-02-04,7c.ai,100,Whois.ai,2,0,0,1
2019-08-17,salt.vc,104,Park.io,4,0,0,0
2019-11-05,degreematch.org,102,Dynadot,11,0,0,0
2020-05-13,actualmx.com,101,GoDaddy,8,1,0,0
2019-10-28,earthwaste.com,101,GoDaddy,10,1,0,0
2020-04-19,androhippo.com,101,GoDaddy,10,1,0,0
2019-11-14,namminh.com,101,DropCatch,7,1,0,0
2019-04-16,bookminder.com,105,GoDaddy,10,1,0,0
2018-11-28,dy750.com,105,GoDaddy,5,1,0,1
2019-02-03,podox.com,111,NameJet,5,1,0,0
2017-06-20,vdg.cc,104,DropCatch,3,0,0,0
2019-08-25,ni.vc,104,Park.io,2,0,0,0
2018-10-23,iwyf.com,109,NameJet,4,1,0,0
2020-03-19,todo-series.com,101,GoDaddy,11,1,1,0
2017-12-05,jetmake.com,104,GoDaddy,7,1,0,0
2018-01-13,fmv.io,100,Flippa,3,0,0,0
2020-05-04,publiclikes.com,101,GoDaddy,11,1,0,0
2018-07-29,stopbeingfamous.com,101,GoDaddy,15,1,0,0
2018-09-19,bikeam.com,110,NameJet,6,1,0,0
2018-06-12,localmowing.com,106,GoDaddy,11,1,0,0
2019-08-06,hanger.ai,100,Whois.ai,6,0,0,0
2018-11-10,wasterep.com,101,GoDaddy,8,1,0,0
2019-04-27,cimaplus.net,103,GoDaddy,8,0,0,0
2019-12-26,nolimitebooks.com,100,GoDaddy,13,1,0,0
2018-09-22,52vn.com,110,GoDaddy,4,1,0,1
2018-10-01,futurefamiliesnw.com,105,GoDaddy,16,1,0,0
2018-12-06,aainvestments.com,100,GoDaddy,13,1,0,0
2018-05-15,outkazt.com,104,GoDaddy,7,1,0,0
2019-12-29,thimble.co,105,Sedo,7,0,0,0
2019-10-08,composure.ai,100,Whois.ai,9,0,0,0
2019-11-20,finafex.com,107,GoDaddy,7,1,0,0
2019-08-06,opentalk.ai,110,Whois.ai,8,0,0,0
2019-08-02,banggs.com,100,GoDaddy,6,1,0,0
2020-04-29,scouttracker.com,111,GoDaddy,12,1,0,0
2020-05-27,saludpractica.com,108,Sedo,13,1,0,0
2019-08-05,otwaythemovie.com,105,GoDaddy,13,1,0,0
2018-04-22,bibitcoin.com,114,DropCatch,9,1,0,0
2018-02-19,bidstr.com,100,GoDaddy,6,1,0,0
2019-01-11,groovylabs.com,104,GoDaddy,10,1,0,0
2017-06-26,minyanvillemedia.com,100,GoDaddy,16,1,0,0
2019-06-12,ytjgz.com,113,GoDaddy,5,1,0,0
2019-06-25,evergreens.org,109,NameJet,10,0,0,0
2020-05-23,showcash.com,104,DropCatch,8,1,0,0
2018-08-26,relationship-talk.com,105,GoDaddy,17,1,1,0
2020-05-05,bds.ai,100,Whois.ai,3,0,0,0
2019-07-11,velveti.com,102,Dynadot,7,1,0,0
2019-04-10,vadg.com,110,NameJet,4,1,0,0
2018-04-17,varrell.com,102,Dynadot,7,1,0,0
2020-04-22,loveslinux.com,105,GoDaddy,10,1,0,0
2020-03-12,primarywebsite.com,105,GoDaddy,14,1,0,0
2018-06-23,qyjgj.com,104,DropCatch,5,1,0,0
2019-11-25,deepgnosis.com,104,GoDaddy,10,1,0,0
2019-08-14,alumnifest.com,103,GoDaddy,10,1,0,0
2019-07-08,bethesda-home.org,105,GoDaddy,13,0,1,0
2019-06-11,24kstore.com,101,GoDaddy,8,1,0,1
2019-08-27,dogscbdtreats.com,110,GoDaddy,13,1,0,0
2019-05-30,keepitsweetblog.com,102,GoDaddy,15,1,0,0
2019-06-28,thehogtownpub.com,105,GoDaddy,13,1,0,0
2019-06-18,turn.ai,100,Whois.ai,4,0,0,0
2019-03-27,irtour.com,104,GoDaddy,6,1,0,0
2019-08-28,workforcecompliance.com,110,GoDaddy,19,1,0,0
2019-04-01,parisma.com,105,GoDaddy,7,1,0,0
2018-08-04,238558.com,102,GoDaddy,6,1,0,1
2017-07-29,8–2.com,104,GoDaddy,3,1,0,1
2017-07-06,origincrafts.com,110,GoDaddy,12,1,0,0
2018-12-24,msfoto.com,108,GoDaddy,6,1,0,0
2019-07-19,aseanlegacy.net,110,DropCatch,11,0,0,0
2019-07-15,e-shopdiscount.com,101,GoDaddy,14,1,1,0
2019-03-01,couleurbebe.org,113,GoDaddy,11,0,0,0
2020-05-06,chickenyard.com,113,GoDaddy,11,1,0,0
2020-02-26,davincigroup.net,108,Sedo,12,0,0,0
2019-08-21,casastate.com,104,GoDaddy,9,1,0,0
2020-04-24,memoireetactualite.org,112,DropCatch,18,0,0,0
2019-05-29,bitestates.com,102,GoDaddy,10,1,0,0
2018-11-25,liapale.net,113,DropCatch,7,0,0,0
2018-11-19,onecupcoffee.com,105,GoDaddy,12,1,0,0
2019-04-05,pclaser.com,100,GoDaddy,7,1,0,0
2017-11-09,innconsulting.com,102,GoDaddy,13,1,0,0
2020-01-07,midnight.ai,105,Whois.ai,8,0,0,0
2019-09-05,autumnhillwine.com,110,DropCatch,14,1,0,0
2018-04-19,holidaywithmatthewmead.com,102,GoDaddy,22,1,0,0
2020-02-17,growingtallerguide.com,112,GoDaddy,18,1,0,0
2020-05-19,661139.com,107,GoDaddy,6,1,0,1
2020-02-02,xn--hxtu54kjba.com,105,GoDaddy,14,1,1,1
2018-05-21,roadroute.com,100,GoDaddy,9,1,0,0
2020-04-30,yunfiledown.com,101,GoDaddy,11,1,0,0
2018-08-20,gaiaschool.com,104,DropCatch,10,1,0,0
2017-11-09,rocketraccoon.com,114,GoDaddy,13,1,0,0
2020-02-02,smoresweets.com,107,GoDaddy,11,1,0,0
2018-06-15,travelturkey.org,105,GoDaddy,12,0,0,0
2019-06-20,sinatraarchive.com,105,GoDaddy,14,1,0,0
2017-06-25,877kj.com,102,GoDaddy,5,1,0,1
2018-02-28,drdash.com,105,GoDaddy,6,1,0,0
2019-09-28,affel.com,109,NameJet,5,1,0,0
2019-05-28,otvj.com,111,NameJet,4,1,0,0
2015-10-24,partium.com,109,NameJet,7,1,0,0
2018-04-01,styleclothes.com,104,GoDaddy,12,1,0,0
2019-12-12,roadcomfort.com,110,GoDaddy,11,1,0,0
2019-07-19,goeckerconstruction.com,113,GoDaddy,19,1,0,0
2018-11-23,globalcovenant.com,104,GoDaddy,14,1,0,0
2020-03-01,artemundo.com,105,NameJet,9,1,0,0
2019-07-04,kkkkkkkk.com,103,GoDaddy,8,1,0,0
2018-10-24,missionalcall.com,105,GoDaddy,13,1,0,0
2020-03-16,kidsacademy.org,102,GoDaddy,11,0,0,0
2020-01-16,vbarsan.com,107,GoDaddy,7,1,0,0
2018-01-25,minibackup.com,105,Flippa,10,1,0,0
2018-05-26,whatyouwrite.com,105,GoDaddy,12,1,0,0
2019-07-21,ijcentral.org,105,GoDaddy,9,0,0,0
2018-11-30,northhive.com,100,GoDaddy,9,1,0,0
2019-08-06,accreditation.ai,100,Whois.ai,13,0,0,0
2017-08-12,visions.io,104,Park.io,7,0,0,0
2020-05-29,streamiz.to,111,Register.TO,8,0,0,0
2018-12-19,polycone.com,101,GoDaddy,8,1,0,0
2019-09-01,servicefacility.com,103,GoDaddy,15,1,0,0
2019-08-25,churchvillagebypass.com,105,GoDaddy,19,1,0,0
2018-06-01,mattburns.com,111,NameJet,9,1,0,0
2019-08-20,cashnow.io,104,Park.io,7,0,0,0
2018-09-03,katy.ai,104,Park.io,4,0,0,0
2018-06-11,hackercademy.com,105,GoDaddy,12,1,0,0
2020-01-14,homebrewgeek.com,105,GoDaddy,12,1,0,0
2020-01-14,truexpert.com,107,GoDaddy,9,1,0,0
2019-10-24,techfuturegirls.com,100,GoDaddy,15,1,0,0
2019-09-02,sevenbuy.com,104,GoDaddy,8,1,0,0
2019-12-18,compostcommunity.com,110,GoDaddy,16,1,0,0
2019-01-12,bassbear.com,105,GoDaddy,8,1,0,0
2017-08-24,hugephone.com,111,GoDaddy,9,1,0,0
2018-11-19,tarahuttongallery.com,110,GoDaddy,17,1,0,0
2018-02-09,romeohuidu.com,105,GoDaddy,10,1,0,0
2020-01-08,cloudologists.com,105,GoDaddy,13,1,0,0
2018-01-17,asidga.org,105,GoDaddy,6,0,0,0
2020-05-17,bitcoinprivatekeys.com,109,GoDaddy,18,1,0,0
2019-08-19,fuxi.ai,100,Whois.ai,4,0,0,0
2019-08-22,basnerlaw.com,114,GoDaddy,9,1,0,0
2018-01-10,blogseries.com,107,GoDaddy,10,1,0,0
2018-05-26,zqsdzzx.com,104,DropCatch,7,1,0,0
2019-08-12,crypteaux.com,103,GoDaddy,9,1,0,0
2017-07-11,csv.cc,105,DropCatch,3,0,0,0
2018-04-13,tiebreakertimes.com,106,GoDaddy,15,1,0,0
2019-05-19,milfoil.com,113,DropCatch,7,1,0,0
2020-01-01,watersedgeoutdoors.com,105,GoDaddy,18,1,0,0
2019-08-07,thegoodshepherdmovie.com,109,NameJet,20,1,0,0
2017-06-20,debtconsolidationplan.com,105,GoDaddy,21,1,0,0
2020-05-17,superonleech.online,102,Catched.com,12,0,0,0
2019-12-23,mintutech.com,105,GoDaddy,9,1,0,0
2017-11-05,prangel.com,106,GoDaddy,7,1,0,0
2019-01-20,genealogybooklinks.com,104,GoDaddy,18,1,0,0
2018-09-26,cfseb.org,107,GoDaddy,5,0,0,0
2019-09-13,orbiscoin.com,104,GoDaddy,9,1,0,0
2018-01-03,tampaautomotive.com,110,NameJet,15,1,0,0
2019-04-10,plazaconventioncenter.com,107,GoDaddy,21,1,0,0
2019-06-16,searchengineposition.com,110,DropCatch,20,1,0,0
2019-06-04,mentors.ai,105,Whois.ai,7,0,0,0
2020-04-18,babysharkparty.com,109,GoDaddy,14,1,0,0
2019-09-30,flicksbarcorralejo.com,106,GoDaddy,18,1,0,0
2020-03-25,steptoday.com,102,GoDaddy,9,1,0,0
2017-10-13,xn--rypto-xra.com,101,Flippa,13,1,1,0
2018-11-12,holographicrecords.com,112,GoDaddy,18,1,0,0
2018-11-11,cai3388.com,103,GoDaddy,7,1,0,1
2019-07-08,serioo.com,105,GoDaddy,6,1,0,0
2018-06-12,myhypno.com,101,NameJet,7,1,0,0
2019-01-16,nlpoker.com,104,DropCatch,7,1,0,0
2018-08-12,orangetime.com,101,NameJet,10,1,0,0
2019-11-28,pppmm.com,107,GoDaddy,5,1,0,0
2018-10-12,creditdock.com,112,GoDaddy,10,1,0,0
2018-06-14,xuhb.com,110,NameJet,4,1,0,0
2019-03-22,west-of-the-moon.net,105,GoDaddy,16,0,1,0
2019-04-12,webbrowser.net,110,Sedo,10,0,0,0
2018-04-11,maryjanes.domains,100,Flippa,9,0,0,0
2020-02-01,telecomplanet.com,105,GoDaddy,13,1,0,0
2017-07-27,babyplanetboutique.com,105,GoDaddy,18,1,0,0
2019-07-13,thisyoungeconomist.com,105,GoDaddy,18,1,0,0
2017-10-29,countrymp3.com,100,Sedo,10,1,0,1
2019-09-17,blservice.com,100,NameJet,9,1,0,0
2018-07-09,amidado.com,110,DropCatch,7,1,0,0
2018-10-01,forwellness.com,110,NameJet,11,1,0,0
2019-11-19,microwaves.io,104,Park.io,10,0,0,0
2019-10-08,marinenterprises.com,102,GoDaddy,16,1,0,0
2019-11-13,mama-sein.de,110,Sedo,9,0,1,0
2020-01-22,kvae.com,100,NameJet,4,1,0,0
2020-02-14,a1seniors.com,106,GoDaddy,9,1,0,1
2019-09-28,wakullasprings.com,111,NameJet,14,1,0,0
2020-04-10,puffyou.com,114,GoDaddy,7,1,0,0
2017-09-07,nutfit.com,113,GoDaddy,6,1,0,0
2019-03-13,ovih.com,109,NameJet,4,1,0,0
2018-07-24,carsbroker.com,110,NameJet,10,1,0,0
2020-05-23,themotus.com,112,GoDaddy,8,1,0,0
2019-04-03,hjc21.com,112,GoDaddy,5,1,0,1
2020-03-15,originalwoodwork.com,100,GoDaddy,16,1,0,0
2019-04-30,gearstv.com,113,GoDaddy,7,1,0,0
2020-03-13,adultpornmovie.com,105,GoDaddy,14,1,0,0
2019-08-06,808.ai,100,Whois.ai,3,0,0,1
2019-04-29,ninjapreneur.com,106,GoDaddy,12,1,0,0
2019-05-17,jvuk.com,101,NameJet,4,1,0,0
2019-03-22,rvwd.com,110,NameJet,4,1,0,0
2018-12-13,304.tv,107,Dynadot,3,0,0,1
2017-11-04,hockeyimpossible.club,100,Flippa,16,0,0,0
2018-02-08,jobsport.com,103,GoDaddy,8,1,0,0
2019-06-11,521zu.com,100,GoDaddy,5,1,0,1
