date,domain,price,venue,length,dot_com,hyphen,numbers
2019-11-24,dialtone.com,5746,GoDaddy,8,1,0,0
2019-11-24,pingr.com,5388,BuyDomains,5,1,0,0
2019-11-22,legit.io,5000,Sedo,5,0,0,0
2019-11-25,lwgcw.com,16515,GoDaddy,5,1,0,0
2019-11-25,chilly.com,15655,NameJet,6,1,0,0
2019-11-25,bustier.com,7210,NameJet,7,1,0,0
2019-11-25,romanempire.com,6206,GoDaddy,11,1,0,0
2019-11-25,8888.tv,6056,DropCatch,4,0,0,1
2019-11-26,hg1.com,37000,GoDaddy,3,1,0,1
2019-11-26,yapa.com,13500,NameJet,4,1,0,0
2019-11-26,healthmarketplace.com,9500,GoDaddy,17,1,0,0
2019-11-26,discountstore.com,9309,GoDaddy,13,1,0,0
2019-11-26,pavillion.com,8500,NameJet,9,1,0,0
2019-11-27,novapay.com,30000,Sedo,7,1,0,0
2019-11-27,qf.net,16555,GoDaddy,2,0,0,0
2019-11-27,naeco.com,8809,Sedo,5,1,0,0
2019-11-27,comfortmats.com,7088,BuyDomains,11,1,0,0
2019-11-27,cloudwind.com,5688,BuyDomains,9,1,0,0
2019-11-26,tricks.de,6553,Sedo,6,0,0,0
2019-11-26,acemedia.com,5500,GoDaddy,8,1,0,0
2019-11-26,buildapps.com,5308,GoDaddy,9,1,0,0
2019-11-28,websitecompany.com,6050,Flippa,14,1,0,0
2019-11-28,welco.com,5700,NameJet,5,1,0,0
2019-11-28,zahnkraft.com,5503,Sedo,9,1,0,0
2019-11-28,t92.com,5233,NameJet,3,1,0,1
2019-11-29,citizenside.com,11361,GoDaddy,11,1,0,0
2019-11-29,ubisense.com,10000,Sedo,8,1,0,0
2019-11-29,3dqr.com,6607,Sedo,4,1,0,1
2019-11-29,betcheck24.com,6056,Sedo,10,1,0,1
2019-11-29,mobiletrader.com,5550,DropCatch,12,1,0,0
2019-11-29,aozo.com,5251,GoDaddy,4,1,0,0
2019-11-30,puki.com,6350,GoDaddy,4,1,0,0
2019-11-30,buzzmedia.com,5555,GoDaddy,9,1,0,0
2019-12-01,23zw.com,16500,GoDaddy,4,1,0,1
2019-12-01,synergypharma.com,7200,GoDaddy,13,1,0,0
2019-12-01,daretodream.com,5955,NameJet,11,1,0,0
2019-12-01,askaboutsports.com,5101,GoDaddy,14,1,0,0
2019-12-04,mischanlage.de,13179,Sedo,11,0,0,0
2019-12-05,ctx.com,139001,GoDaddy,3,1,0,0
2019-12-05,censusfinder.com,9200,GoDaddy,12,1,0,0
2019-12-05,hg8989.com,7900,GoDaddy,6,1,0,1
2019-12-05,n2.de,7203,Sedo,2,0,0,1
2019-12-06,bfcm.com,56501,GoDaddy,4,1,0,0
2019-12-06,innovator.org,9750,Sedo,9,0,0,0
2019-12-06,puppydog.com,9500,Flippa,8,1,0,0
2019-12-06,bet.be,8886,Sedo,3,0,0,0
2019-12-06,bestbingosites.com,5776,Sedo,14,1,0,0
2019-12-07,greenopolis.com,7700,GoDaddy,11,1,0,0
2019-12-07,912345.com,6410,GoDaddy,6,1,0,1
2019-12-07,sportwettencheck.com,5659,Sedo,16,1,0,0
2019-12-07,sicario.com,5529,Sedo,7,1,0,0
2019-12-07,xool.com,5100,Sedo,4,1,0,0
2019-12-08,fashionindie.com,13500,GoDaddy,12,1,0,0
2019-12-08,liutilities.com,10217,NameJet,11,1,0,0
2019-12-08,metronet.com,8988,NameJet,8,1,0,0
2019-12-08,soccerballworld.com,7501,GoDaddy,15,1,0,0
2019-12-08,artltdmag.com,7100,GoDaddy,9,1,0,0
2019-12-08,cbdskincream.com,6650,GoDaddy,12,1,0,0
2019-12-08,businessreviewusa.com,5050,DropCatch,17,1,0,0
2019-12-09,blockchainwallet.com,22250,GoDaddy,16,1,0,0
2019-12-09,emc2.com,8100,GoDaddy,4,1,0,1
2019-12-09,highticket.com,6104,GoDaddy,10,1,0,0
2019-12-09,climbinggear.com,6009,GoDaddy,12,1,0,0
2019-12-09,truecompanion.com,5100,NameJet,13,1,0,0
