domain,price,currency,date,source,venue,tld
symphonic.com,115000,USD,2021-12-31,dnjournal_ytd,,com
mixed.com,115000,USD,2022-12-31,dnjournal_ytd,,com
terry.com,114000,USD,2021-12-31,dnjournal_ytd,,com
candyshop.com,112125,USD,2021-12-31,dnjournal_ytd,,com
caretaker.com,112000,USD,2020-12-31,dnjournal_ytd,,com
veteransday.com,112000,USD,2021-12-31,dnjournal_ytd,,com
precise.ai,110000,USD,2023-12-31,dnjournal_ytd,,ai
betify.com,110000,USD,2022-12-31,dnjournal_ytd,,com
wrap.xyz,110000,USD,2022-12-31,dnjournal_ytd,,xyz
mim.com,110000,USD,2020-12-31,dnjournal_ytd,,com
bc.xyz,110000,USD,2023-12-31,dnjournal_ytd,,xyz
profile.net,108897,USD,2024-12-31,dnjournal_ytd,,net
confirm.com,108000,USD,2020-12-31,dnjournal_ytd,,com
january.com,107000,USD,2020-12-31,dnjournal_ytd,,com
vaninsurance.co.uk,106769,USD,2020-12-31,dnjournal_ytd,,uk
daga.com,106000,USD,2023-12-31,dnjournal_ytd,,com
evo.io,105000,USD,2024-12-31,dnjournal_ytd,,io
gaming.io,105000,USD,2022-12-31,dnjournal_ytd,,io
capital.xyz,105000,USD,2022-12-31,dnjournal_ytd,,xyz
crew.ai,104900,USD,2024-12-31,dnjournal_ytd,,ai
profile.xyz,104000,USD,2022-12-31,dnjournal_ytd,,xyz
sportsbet.xyz,103910,USD,2022-12-31,dnjournal_ytd,,xyz
iagent.com,102000,USD,2020-12-31,dnjournal_ytd,,com
auto.ae,101000,USD,2022-12-31,dnjournal_ytd,,ae
greenstreet.com,100890,USD,2020-12-31,dnjournal_ytd,,com
homefinance.com,100890,USD,2020-12-31,dnjournal_ytd,,com
nrh.com,100000,USD,2020-12-31,dnjournal_ytd,,com
nevis.com,100000,USD,2023-12-31,dnjournal_ytd,,com
de.fi,100000,USD,2023-12-31,dnjournal_ytd,,fi
anxiety.org,100000,USD,2023-12-31,dnjournal_ytd,,org
statistic.com,100000,USD,2023-12-31,dnjournal_ytd,,com
topfx.eu,100000,USD,2023-12-31,dnjournal_ytd,,eu
bti.com,100000,USD,2020-12-31,dnjournal_ytd,,com
b.et,100000,USD,2021-12-31,dnjournal_ytd,,et
fivenine.com,100000,USD,2020-12-31,dnjournal_ytd,,com
sleep.com.au,100000,USD,2020-12-31,dnjournal_ytd,,au
vaninsurance.com,100000,USD,2020-12-31,dnjournal_ytd,,com
interlock.com,100000,USD,2020-12-31,dnjournal_ytd,,com
wordplay.com,100000,USD,2022-12-31,dnjournal_ytd,,com
mannequin.com,100000,USD,2022-12-31,dnjournal_ytd,,com
lifeinsurance.com.au,100000,USD,2020-12-31,dnjournal_ytd,,au
winemaker.com,100000,USD,2020-12-31,dnjournal_ytd,,com
barri.com,100000,USD,2020-12-31,dnjournal_ytd,,com
meta.io,100000,USD,2021-12-31,dnjournal_ytd,,io
snitch.com,100000,USD,2024-12-31,dnjournal_ytd,,com
spring.net,100000,USD,2024-12-31,dnjournal_ytd,,net
sydneytools.com,100000,USD,2024-12-31,dnjournal_ytd,,com
open.network,100000,USD,2024-12-31,dnjournal_ytd,,network
paycard.com,100000,USD,2024-12-31,dnjournal_ytd,,com
rkx.com,100000,USD,2024-12-31,dnjournal_ytd,,com
photobooth.com,100000,USD,2024-12-31,dnjournal_ytd,,com
sandbagger.com,100000,USD,2024-12-31,dnjournal_ytd,,com
crypto.co.uk,100000,USD,2024-12-31,dnjournal_ytd,,uk
mapy.com,100000,USD,2024-12-31,dnjournal_ytd,,com
drive.us,99999,USD,2022-12-31,dnjournal_ytd,,us
hiphi.com,99999,USD,2020-12-31,dnjournal_ytd,,com
x.ar,99888,USD,2024-12-31,dnjournal_ytd,,ar
hot.co.uk,99500,USD,2022-12-31,dnjournal_ytd,,uk
thisav.com,99000,USD,2023-12-31,dnjournal_ytd,,com
stickerapp.eu,98699,USD,2026-06-11,dnjournal,Sedo,eu
m2.com,96800,USD,2022-12-31,dnjournal_ytd,,com
w.app,96000,USD,2023-12-31,dnjournal_ytd,,app
sports.gg,96000,USD,2022-12-31,dnjournal_ytd,,gg
create.xyz,95868,USD,2024-12-31,dnjournal_ytd,,xyz
